"Medication.product.ingredient.item","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Substance}
Reference {http://hl7.org/fhir/StructureDefinition/Medication}","The product contained","The actual ingredient - either a substance (simple ingredient) or another medication.","","","","","","","","","",,,,,"",,,,"Medication.product.ingredient.item",1,1,"","",".player","RXC-2-Component Code  if medication: RXO-1-Requested Give Code / RXE-2-Give Code / RXD-2-Dispense/Give Code / RXG-4-Give Code / RXA-5-Administered Code"
"Medication.product.ingredient.amount","","","",0,1,"","","","Ratio
","Quantity of ingredient present","Specifies how many (or how much) of the items there are in this Medication.  For example, 250 mg per tablet.","","","","","","","","","",,,,,"",,,,"Medication.product.ingredient.amount",0,1,"","",".quantity","RXC-3-Component Amount & RXC-4-Component Units  if medication: RXO-2-Requested Give Amount - Minimum & RXO-4-Requested Give Units / RXO-3-Requested Give Amount - Maximum & RXO-4-Requested Give Units / RXO-11-Requested Dispense Amount & RXO-12-Requested Dispense Units / RXE-3-Give Amount - Minimum & RXE-5-Give Units / RXE-4-Give Amount - Maximum & RXE-5-Give Units / RXE-10-Dispense Amount & RXE-10-Dispense Units"
"Medication.product.batch","","","",0,*,"","","","BackboneElement
","","Information about a group of medication produced or packaged from one production run.","","","","","","","","","",,,,,"",,,,"Medication.product.batch",0,*,"",""
"Medication.product.batch.id","","","",0,1,"","","","id
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Medication.product.batch.id",0,1,"","","n/a"
"Medication.product.batch.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.product.batch.extension",0,*,"","","n/a"
"Medication.product.batch.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.product.batch.modifierExtension",0,*,"","","N/A"
"Medication.product.batch.lotNumber","","","",0,1,"","","","string
","","The assigned lot number of a batch of the specified product.","","","","","","","","","",,,,,"",,,,"Medication.product.batch.lotNumber",0,1,"","","RXA-15 Substance Lot Number / RXG-19 Substance Lot Number"
"Medication.product.batch.expirationDate","","","",0,1,"","","","dateTime
","","When this specific batch of product will expire.","","","","","","","","","",,,,,"",,,,"Medication.product.batch.expirationDate",0,1,"","","RXA-16 Substance Expiration Date / RXG-20 Substance Expiration Date"
"Medication.package","","","",0,1,"","","","BackboneElement
","Details about packaged medications","Information that only applies to packages (not products).","","","","","","","","","",,,,,"",,,,"Medication.package",0,1,"","",".player[classCode=CONT]"
"Medication.package.id","","","",0,1,"","","","id
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Medication.package.id",0,1,"","","n/a"
"Medication.package.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.package.extension",0,*,"","","n/a"
"Medication.package.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.package.modifierExtension",0,*,"","","N/A"
"Medication.package.container","","","",0,1,"","","","CodeableConcept
","E.g. box, vial, blister-pack","The kind of container that this package comes as.","","","","","","","","","",,"example","Kind of container a medication package is packaged in","http://hl7.org/fhir/ValueSet/medication-package-form-codes","",,,,"Medication.package.container",0,1,"","",".code"
"Medication.package.content","","","",0,*,"","","","BackboneElement
","What is  in the package","A set of components that go to make up the described item.","","","","","","","","","",,,,,"",,,,"Medication.package.content",0,*,"","",".scopesRole[typeCode=CONT]"
"Medication.package.content.id","","","",0,1,"","","","id
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Medication.package.content.id",0,1,"","","n/a"
"Medication.package.content.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.package.content.extension",0,*,"","","n/a"
"Medication.package.content.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Medication.package.content.modifierExtension",0,*,"","","N/A"
"Medication.package.content.item","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Medication}
","A product in the package","Identifies one of the items in the package.","","","","","","","","","",,,,,"",,,,"Medication.package.content.item",1,1,"","",".player"
"Medication.package.content.amount","","","",0,1,"","","","Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}
","Quantity present in the package","The amount of the product that is in the package.","","","","","","","","","",,,,,"",,,,"Medication.package.content.amount",0,1,"","",".quantity"
