,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
CarePlan.activity.detail.extension,CarePlan.activity.detail.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.activity.detail.extension,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.detail.goal,CarePlan.activity.detail.goal,,,,,,0.0,,*,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Goal},,Goals this activity relates to,,Internal reference that identifies the goals that this activity is intended to contribute towards meeting.,,,,So that participants know the link explicitly.,,,,,,,,CarePlan.activity.detail.goal,,0.0,,*,,,,,,.outboundRelationship[typeCode<=OBJ].,,,left_only
CarePlan.activity.detail.id,CarePlan.activity.detail.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,CarePlan.activity.detail.id,,0.0,,1,,,,,,,,,left_only
CarePlan.activity.detail.location,CarePlan.activity.detail.location,,,,,,0.0,,1,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Location},,Where it should happen,,"Identifies the facility where the activity will occur; e.g. home, hospital, specific clinic, etc.",,May reference a specific clinical location or may identify a type of location.,,Helps in planning of activity.,,,,,,,,CarePlan.activity.detail.location,,0.0,,1,,,,,,.participation[typeCode=LOC].role,,,left_only
CarePlan.activity.detail.modifierExtension,CarePlan.activity.detail.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.activity.detail.modifierExtension,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.detail.performer,CarePlan.activity.detail.performer,,,,,,0.0,,*,,,,,,,,"Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}
Reference {http://hl7.org/fhir/StructureDefinition/Organization}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}Reference {http://hl7.org/fhir/StructureDefinition/Patient}",,Who will be responsible?,,Identifies who's expected to be involved in the activity.,,A performer MAY also be a participant in the care plan.,,Helps in planning of activity.,,,,,,,,CarePlan.activity.detail.performer,,0.0,,*,,,,,,.participation[typeCode=PFM],,,left_only
CarePlan.activity.detail.product[x],CarePlan.activity.detail.product[x],,,,,,0.0,,1,,,,,,,,"CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Medication}Reference {http://hl7.org/fhir/StructureDefinition/Substance}",,What is to be administered/supplied,,"Identifies the food, drug or other product to be consumed or supplied in the activity.",,,,,,example,,A product supplied or administered as part of a care plan activity.,,http://hl7.org/fhir/ValueSet/medication-codes,,CarePlan.activity.detail.product[x],,0.0,,1,,,,,,.participation[typeCode=PRD].role,,,left_only
CarePlan.activity.detail.prohibited,CarePlan.activity.detail.prohibited,,,,,,1.0,,1,,,,Y,,,,boolean,,Do NOT do,,"If true, indicates that the described activity is one that must NOT be engaged in when following the plan.",,,,Captures intention to not do something that may have been previously typical.,,,,,,,,CarePlan.activity.detail.prohibited,,1.0,,1,,,,,,actionNegationInd,,,left_only
CarePlan.activity.detail.quantity,CarePlan.activity.detail.quantity,,,,,,0.0,,1,,,,,,,,Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity},,How much to administer/supply/consume,,"Identifies the quantity expected to be supplied, administered or consumed by the subject.",,,,,,,,,,,,CarePlan.activity.detail.quantity,,0.0,,1,,,,,,.outboundRelationship[typeCode=COMP][classCode=SPLY].quantity,,,left_only
CarePlan.activity.detail.reasonCode,CarePlan.activity.detail.reasonCode,,,,,,0.0,,*,,,,,,,,CodeableConcept,,Why activity should be done,,Provides the rationale that drove the inclusion of this particular activity as part of the plan.,,"This could be a diagnosis code.  If a full condition record exists or additional detail is needed, use reasonCondition instead.",,,,example,,"Identifies why a care plan activity is needed.  Can include any health condition codes as well as such concepts as ""general wellness"", prophylaxis, surgical preparation, etc.",,http://hl7.org/fhir/ValueSet/activity-reason,,CarePlan.activity.detail.reasonCode,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.detail.reasonReference,CarePlan.activity.detail.reasonReference,,,,,,0.0,,*,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Condition},,Condition triggering need for activity,,Provides the health condition(s) that drove the inclusion of this particular activity as part of the plan.,,Conditions can be identified at the activity level that are not identified as reasons for the overall plan.,,,,,,,,,,CarePlan.activity.detail.reasonReference,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.detail.scheduled[x],CarePlan.activity.detail.scheduled[x],,,,,,0.0,,1,,,,,,,,"Timing
Periodstring",,When activity is to occur,,"The period, timing or frequency upon which the described activity is to occur.",,,,Allows prompting for activities and detection of missed planned activities.,,,,,,,,CarePlan.activity.detail.scheduled[x],,0.0,,1,,,,,,.effectiveTime,,,left_only
CarePlan.activity.detail.status,CarePlan.activity.detail.status,,,,,,0.0,,1,,,,Y,,,,code,,not-started | scheduled | in-progress | on-hold | completed | cancelled,,Identifies what progress is being made for the specific activity.,,"Some aspects of status can be inferred based on the resources linked in actionTaken.  Note that ""status"" is only as current as the plan was most recently updated.",,"Indicates progress against the plan, whether the activity is still relevant for the plan.",,required,,Indicates where the activity is at in its overall life cycle.,,http://hl7.org/fhir/ValueSet/care-plan-activity-status,,CarePlan.activity.detail.status,,0.0,,1,,,,,,.statusCode not-started = new scheduled = not-started (and fulfillment relationship to appointent) in-progress = active on-hold = suspended completed = completed cancelled = aborted,,,left_only
CarePlan.activity.detail.statusReason,CarePlan.activity.detail.statusReason,,,,,,0.0,,1,,,,,,,,CodeableConcept,,Reason for current status,,"Provides reason why the activity isn't yet started, is on hold, was cancelled, etc.",,"Will generally not be present if status is ""complete"".  Be sure to prompt to update this (or at least remove the existing value) if the status is changed.",,,,example,,"Describes why the current activity has the status it does; e.g. ""Recovering from injury"" as a reason for non-started or on-hold, ""Patient does not enjoy activity"" as a reason for cancelling a planned activity.",,http://hl7.org/fhir/ValueSet/goal-status-reason,,CarePlan.activity.detail.statusReason,,0.0,,1,,,,,,,,,left_only
CarePlan.activity.extension,CarePlan.activity.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.activity.extension,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.id,CarePlan.activity.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,CarePlan.activity.id,,0.0,,1,,,,,,,,,left_only
CarePlan.activity.modifierExtension,CarePlan.activity.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.activity.modifierExtension,,0.0,,*,,,,,,,,,left_only
CarePlan.activity.progress,CarePlan.activity.progress,,,,,,0.0,,*,,,,,,,,Annotation,,Comments about the activity status/progress,,Notes about the adherence/status/progress of the activity.,,This element should NOT be used to describe the activity to be performed - that occurs either within the resource pointed to by activity.detail.reference or in activity.detail.description.,,"Can be used to capture information about adherence, progress, concerns, etc.",,,,,,,,CarePlan.activity.progress,,0.0,,*,,,,,,".inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""annotation""].value",,,left_only
CarePlan.activity.reference,CarePlan.activity.reference,,,,,,0.0,,1,,,,,,,,"Reference {http://hl7.org/fhir/StructureDefinition/Appointment}
Reference {http://hl7.org/fhir/StructureDefinition/CommunicationRequest}Reference {http://hl7.org/fhir/StructureDefinition/DeviceUseRequest}Reference {http://hl7.org/fhir/StructureDefinition/DiagnosticOrder}Reference {http://hl7.org/fhir/StructureDefinition/MedicationOrder}Reference {http://hl7.org/fhir/StructureDefinition/NutritionOrder}Reference {http://hl7.org/fhir/StructureDefinition/Order}Reference {http://hl7.org/fhir/StructureDefinition/ProcedureRequest}Reference {http://hl7.org/fhir/StructureDefinition/ProcessRequest}Reference {http://hl7.org/fhir/StructureDefinition/ReferralRequest}Reference {http://hl7.org/fhir/StructureDefinition/SupplyRequest}Reference {http://hl7.org/fhir/StructureDefinition/VisionPrescription}",,Activity details defined in specific resource,,The details of the proposed activity represented in a specific resource.,,,,Details in a form consistent with other applications and contexts of use.,,,,,,,,CarePlan.activity.reference,,0.0,,1,,cpl-3,,,,.outboundRelationship[typeCode=COMP].target,,,left_only
CarePlan.addresses,CarePlan.addresses,,,,,,0.0,,*,,,,,,Y,,Reference {http://hl7.org/fhir/StructureDefinition/Condition},,Health issues this plan addresses,,Identifies the conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.,,,,Links plan to the conditions it manages.  Also scopes plans - multiple plans may exist addressing different concerns.,,,,,,,,CarePlan.addresses,,0.0,,*,,,,,,".actRelationship[typeCode=SUBJ].target[classCode=CONC, moodCode=EVN]",,,left_only
CarePlan.author,CarePlan.author,,,,,,0.0,,*,,,,,,Y,,"Reference {http://hl7.org/fhir/StructureDefinition/Patient}
Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}Reference {http://hl7.org/fhir/StructureDefinition/Organization}",,Who is responsible for contents of the plan,,Identifies the individual(s) or ogranization who is responsible for the content of the care plan.,,Collaborative care plans may have multiple authors.,,,,,,,,,,CarePlan.author,,0.0,,*,,,,,,,,,left_only
CarePlan.category,CarePlan.category,,,,,,1.0,,*,,Y,,,,,,CodeableConcept,,Type of plan,,"Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", ""wellness plan"", etc.",,"There may be multiple axis of categorization and one plan may serve multiple purposes.  In some cases, this may be redundant with references to CarePlan.concern.",,Used for filtering what plan(s) are retrieved and displayed to different types of users.,,example,,"Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", etc.",,http://hl7.org/fhir/ValueSet/care-plan-category,,CarePlan.category,,0.0,,*,,,,arg-1:Must have a category of 'careteam' and a code system 'http://argonaut.hl7.org' {where(coding.system='http://argonaut.hl7.org' and coding.code='careteam').exists()},,-,,,left_only
CarePlan.contained,CarePlan.contained,,,,"inline resources
anonymous resourcescontained resources",,0.0,,*,,,,,,,,Resource,,"Contained, inline Resources",,"These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.",,"This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.",,,,,,,,,,CarePlan.contained,,0.0,,*,,,,,,,,,left_only
CarePlan.context,CarePlan.context,,,,,,0.0,,1,,,,,,Y,,"Reference {http://hl7.org/fhir/StructureDefinition/Encounter}
Reference {http://hl7.org/fhir/StructureDefinition/EpisodeOfCare}",,Created in context of,,Identifies the context in which this particular CarePlan is defined.,,Activities conducted as a result of the care plan may well occur as part of other encounters/episodes.,,,,,,,,,,CarePlan.context,,0.0,,1,,,,,,.,,,left_only
CarePlan.description,CarePlan.description,,,,,,0.0,,1,,,,,,Y,,string,,Summary of nature of plan,,A description of the scope and nature of the plan.,,,,Provides more detail than conveyed by category.,,,,,,,,CarePlan.description,,0.0,,1,,,,,,,,,left_only
CarePlan.extension,CarePlan.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.extension,,0.0,,*,,,,,,,,,left_only
CarePlan.goal,CarePlan.goal,,,,,,0.0,,*,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Goal},,Desired outcome of plan,,Describes the intended objective(s) of carrying out the care plan.,,Goal can be achieving a particular change or merely maintaining a current state or even slowing a decline.,,Provides context for plan.  Allows plan effectiveness to be evaluated by clinicians.,,,,,,,,CarePlan.goal,,0.0,,*,,,,,,.outboundRelationship[typeCode<=OBJ].,,,left_only
CarePlan.id,CarePlan.id,,,,,,0.0,,1,,,,,,Y,,id,,Logical id of this artifact,,"The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.",,"The only time that a resource does not have an id is when it is being submitted to the server using a create operation. Bundles always have an id, though it is usually a generated UUID.",,,,,,,,,,CarePlan.id,,0.0,,1,,,,,,,,,left_only
CarePlan.identifier,CarePlan.identifier,,,,,,0.0,,*,,,,,,Y,,Identifier,,External Ids for this plan,,"This records identifiers associated with this care plan that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate (e.g. in CDA documents, or in written / printed documentation).",,,,Need to allow connection to a wider workflow.,,,,,,,,CarePlan.identifier,,0.0,,*,,,,,,.id,,,left_only
CarePlan.implicitRules,CarePlan.implicitRules,,,,,,0.0,,1,,,,Y,,Y,,uri,,A set of rules under which this content was created,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.",,"Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.",,,,,,,,,,CarePlan.implicitRules,,0.0,,1,,,,,,,,,left_only
CarePlan.language,CarePlan.language,,,,,,0.0,,1,,,,,,,,code,,Language of the resource content,,The base language in which the resource is written.,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,,required,,A human language.,,http://tools.ietf.org/html/bcp47,,CarePlan.language,,0.0,,1,,,,,,,,,left_only
CarePlan.meta,CarePlan.meta,,,,,,0.0,,1,,,,,,Y,,Meta,,Metadata about the resource,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,,,,,,,,,,,,CarePlan.meta,,0.0,,1,,,,,,,,,left_only
CarePlan.modified,CarePlan.modified,,,,,,0.0,,1,,,,,,Y,,dateTime,,When last updated,,Identifies the most recent date on which the plan has been revised.,,,,Indicates how current the plan is.,,,,,,,,CarePlan.modified,,0.0,,1,,,,,,.participation[typeCode=AUT].time,,,left_only
CarePlan.modifierExtension,CarePlan.modifierExtension,,,,"extensions
user content",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.modifierExtension,,0.0,,*,,,,,,,,,left_only
CarePlan.note,CarePlan.note,,,,,,0.0,,1,,,,,,,,Annotation,,Comments about the plan,,General notes about the care plan not covered elsewhere.,,,,Used to capture information that applies to the plan as a whole that doesn't fit into discrete elements.,,,,,,,,CarePlan.note,,0.0,,1,,,,,,".inboundRelationship[typeCode=SUBJ].source[classCode=OBS, moodCode=EVN, code=""annotation""].value",,,left_only
CarePlan.participant,CarePlan.participant,,,,Care Team,,1.0,,*,,Y,,,,,,BackboneElement,,Who's involved in plan?,,Identifies all people and organizations who are expected to be involved in the care envisioned by this plan.,,,,"Allows representation of care teams, helps scope care plan.  In some cases may be a determiner of access permissions.",,,,,,,,CarePlan.participant,,0.0,,*,,,,,,CareTeam.participant,,,left_only
CarePlan.participant.extension,CarePlan.participant.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.participant.extension,,0.0,,*,,,,,,,,,left_only
CarePlan.participant.id,CarePlan.participant.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,CarePlan.participant.id,,0.0,,1,,,,,,,,,left_only
CarePlan.participant.member,CarePlan.participant.member,,,,,,1.0,,1,,Y,,,,,,"Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-patient}
Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}Reference {http://hl7.org/fhir/StructureDefinition/Organization}",,Who is involved,,The specific person or organization who is participating/expected to participate in the care plan.,,"Patient only needs to be listed if they have a role other than ""subject of care"".  Member is optional because some participants may be known only by their role, particularly in draft plans.",,,,,,,,,,CarePlan.participant.member,,0.0,,1,,,,,,CareTeam.participant.member,,,left_only
CarePlan.participant.modifierExtension,CarePlan.participant.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.participant.modifierExtension,,0.0,,*,,,,,,,,,left_only
CarePlan.participant.role,CarePlan.participant.role,,,,,,1.0,,1,,Y,,,,,,CodeableConcept,,Type of involvement,,"Indicates specific responsibility of an individual within the care plan; e.g. ""Primary physician"", ""Team coordinator"", ""Caregiver"", etc.",,Roles may sometimes be inferred by type of Practitioner.  These are relationships that hold only within the context of the care plan.  General relationships should be handled as properties of the Patient resource directly.,,,,extensible,,,,http://fhir.org/guides/argonaut/ValueSet/provider-role,,CarePlan.participant.role,,0.0,,1,,,,,,CareTeam.participant.role,,,left_only
CarePlan.period,CarePlan.period,,,,,,0.0,,1,,,,,,Y,,Period,,Time period plan covers,,Indicates when the plan did (or is intended to) come into effect and end.,,Any activities scheduled as part of the plan should be constrained to the specified period.,,Allows tracking what plan(s) are in effect at a particular time.,,,,,,,,CarePlan.period,,0.0,,1,,,,,,.effectiveTime,,,left_only
CarePlan.relatedPlan,CarePlan.relatedPlan,,,,,,0.0,,*,,,,,,,,BackboneElement,,Plans related to this one,,Identifies CarePlans with some sort of formal relationship to the current plan.,,"Relationships are uni-directional with the ""newer"" plan pointing to the older one.",,,,,,,,,,CarePlan.relatedPlan,,0.0,,*,,,,,,,,,left_only
CarePlan.relatedPlan.code,CarePlan.relatedPlan.code,,,,,,0.0,,1,,,,,,,,code,,includes | replaces | fulfills,,Identifies the type of relationship this plan has to the target plan.,,"Read the relationship as ""this plan"" [relatedPlan.code] ""relatedPlan.plan""; e.g. This plan includes Plan B.  Additional relationship types can be proposed for future releases or handled as extensions.",,,,required,,Codes identifying the types of relationships between two plans.,,http://hl7.org/fhir/ValueSet/care-plan-relationship,,CarePlan.relatedPlan.code,,0.0,,1,,,,,,,,,left_only
CarePlan.relatedPlan.extension,CarePlan.relatedPlan.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,CarePlan.relatedPlan.extension,,0.0,,*,,,,,,,,,left_only
CarePlan.relatedPlan.id,CarePlan.relatedPlan.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,CarePlan.relatedPlan.id,,0.0,,1,,,,,,,,,left_only
