,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Default Value,Default Value,Meaning When Missing,Meaning When Missing,Example,Example,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
Patient.address.use,,Patient.address.use,,,,,,0.0,,1,,,,Y,,Y,,code {[]} {[]},,home | work | temp | old | billing - purpose of this address,,The purpose of this address.,,Applications can assume that an address is current unless it explicitly says that it is temporary or old.,,Allows an appropriate address to be chosen from a list of many.,,,,,,"<valueCode xmlns=""http://hl7.org/fhir"" value=""home""/>",,required,,The use of an address.,,http://hl7.org/fhir/ValueSet/address-use|4.0.1,,,,,,Address.use,,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,unique(./use),right_only,
Patient.animal,Patient.animal,,,,,,0.0,,0,,,,Y,,,,BackboneElement,,This patient is known to be an animal (non-human),,This patient is known to be an animal.,,"The animal element is labeled ""Is Modifier"" since patients may be non-human. Systems SHALL either handle patient details appropriately (e.g. inform users patient is not human) or reject declared animal records.   The absense of the animal element does not imply that the patient is a human. If a system requires such a positive assertion that the patient is human, an extension will be required.  (Do not use a species of homo-sapiens in animal species, as this would incorrectly infer that the patient is an animal).",,Many clinical systems are extended to care for animal patients as well as human.,,,,,,,,,,,,,,,,,,Patient.animal,,0,,1,,,,,,,,,left_only
Patient.animal.breed,Patient.animal.breed,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,"E.g. Poodle, Angus",,Identifies the detailed categorization of the kind of animal.,,Breed MAY be used to provide further taxonomic or non-taxonomic classification.  It may involve local or proprietary designation--such as commercial strain--and/or additional information such as production type.,,May need to know the specific kind within the species.,,,,,,,,example,,The breed of an animal.,,http://hl7.org/fhir/ValueSet/animal-breeds,,,,,,Patient.animal.breed,,0,,1,,,,,,,,,left_only
Patient.animal.extension,Patient.animal.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,,,,Patient.animal.extension,,0,,*,,,,,,,,,left_only
Patient.animal.genderStatus,Patient.animal.genderStatus,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,"E.g. Neutered, Intact",,Indicates the current state of the animal's reproductive organs.,,,,Gender status can affect housing and animal behavior.,,,,,,,,example,,The state of the animal's reproductive organs.,,http://hl7.org/fhir/ValueSet/animal-genderstatus,,,,,,Patient.animal.genderStatus,,0,,1,,,,,,,,,left_only
Patient.animal.id,Patient.animal.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,,,,,,,,,,,Patient.animal.id,,0,,1,,,,,,,,,left_only
Patient.animal.modifierExtension,Patient.animal.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,,,,,,,Patient.animal.modifierExtension,,0,,*,,,,,,,,,left_only
Patient.animal.species,Patient.animal.species,,,,,,1.0,,1,,,,,,Y,,CodeableConcept,,"E.g. Dog, Cow",,Identifies the high level taxonomic categorization of the kind of animal.,,"If the patient is non-human, at least a species SHALL be specified. Species SHALL be a widely recognised taxonomic classification.  It may or may not be Linnaean taxonomy and may or may not be at the level of species. If the level is finer than species--such as a breed code--the code system used SHALL allow inference of the species.  (The common example is that the word ""Hereford"" does not allow inference of the species Bos taurus, because there is a Hereford pig breed, but the SNOMED CT code for ""Hereford Cattle Breed"" does.).",,Need to know what kind of animal.,,,,,,,,example,,The species of an animal.,,http://hl7.org/fhir/ValueSet/animal-species,,,,,,Patient.animal.species,,1,,1,,,,,,,,,left_only
Patient.birthDate,,,,,,,,,,,,,,,,Y,date,date {[]} {[]},,,,,"At least an estimated year should be provided as a guess if the real DOB is unknown  There is a standard extension ""patient-birthTime"" available that should be used where Time is required (such as in maternaty/infant care systems).","At least an estimated year should be provided as a guess if the real DOB is unknown  There is a standard extension ""patient-birthTime"" available that should be used where Time is required (such as in maternity/infant care systems).",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.patient.birthTime,player[classCode=PSN|ANM and determinerCode=INSTANCE]/birthTime,,
Patient.careProvider,Patient.careProvider,,,,,,0.0,,*,,,,,,,,"Reference {http://hl7.org/fhir/StructureDefinition/Organization}
Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}",,Patient's nominated primary care provider,,Patient's nominated care provider.,,"This may be the primary care provider (in a GP context), or it may be a patient nominated care manager in a community/disablity setting, or even organization that will provide people to perform the care provider roles.  This is not to be used to record Care Teams, these should be recorded on either the CarePlan or EpisodeOfCare resources.",,,,,,,,,,,,,,,,,,,,Patient.careProvider,,0,,*,,,,,,,,,left_only
Patient.communication,,,,,,,,,,,Y,,,,,,BackboneElement,BackboneElement {[]} {[]},A list of Languages which may be used to communicate with the patient about his or her health,A language which may be used to communicate with the patient about his or her health,Languages which may be used to communicate with the patient about his or her health.,A language which may be used to communicate with the patient about his or her health.,"If no language is specified, this *implies* that the default local language is spoken.  If you need to convey proficiency for multiple modes then you need multiple Patient.Communication associations.   For animals, language is not a relevant field, and should be absent from the instance. If the Patient does not speak the default local language, then the Interpreter Required Standard can be used to explicitly declare that an interpreter is required.","If no language is specified, this *implies* that the default local language is spoken.  If you need to convey proficiency for multiple modes, then you need multiple Patient.Communication associations.   For animals, language is not a relevant field, and should be absent from the instance. If the Patient does not speak the default local language, then the Interpreter Required Standard can be used to explicitly declare that an interpreter is required.","If a patient does not speak the local language, interpreters may be required, so languages spoken and proficiency is an important things to keep track of both for patient and other persons of interest.","If a patient does not speak the local language, interpreters may be required, so languages spoken and proficiency are important things to keep track of both for patient and other persons of interest.",,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},patient.languageCommunication,LanguageCommunication,,
Patient.communication.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,,,,,,,,,,Patient.communication.extension,Element.extension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.communication.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,Patient.communication.id,Element.id,,,,,,,,,,,,
Patient.communication.language,,,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},,,,,,,,,,,,,,,required,extensible,,,http://fhir.org/guides/argonaut/ValueSet/languages,http://hl7.org/fhir/us/core/ValueSet/simple-language,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.languageCode,player[classCode=PSN|ANM and determinerCode=INSTANCE]/languageCommunication/code,,
Patient.communication.modifierExtension,,,,,,,,,,,,,,,,Y,Extension,Extension {[]} {[]},Extensions that cannot be ignored,Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,,,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,,Patient.communication.modifierExtension,BackboneElement.modifierExtension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.communication.preferred,,,,,,,,,,,,,,,,,boolean,boolean {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},.preferenceInd,preferenceInd,,
Patient.contact,,,,,,,,,,,,,,,,,BackboneElement,BackboneElement {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pat-1:SHALL at least contain a contact's details or a reference to an organization {null},"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
pat-1:SHALL at least contain a contact's details or a reference to an organization {name.exists() or telecom.exists() or address.exists() or organization.exists()}",,player[classCode=PSN|ANM and determinerCode=INSTANCE]/scopedRole[classCode=CON],,
Patient.contact.address,,,,,,,,,,,,,,,,,Address,Address {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,addr,,
Patient.contact.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,,,,,,,,,,Patient.contact.extension,Element.extension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.contact.gender,,,,,,,,,,,,,,,,,code,code {[]} {[]},,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/ValueSet/administrative-gender,http://hl7.org/fhir/ValueSet/administrative-gender|4.0.1,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,player[classCode=PSN|ANM and determinerCode=INSTANCE]/administrativeGender,,
Patient.contact.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,,,,,,Patient.contact.id,Element.id,,,,,,,,,,,,
Patient.contact.modifierExtension,,,,,,,,,,,,,,,,Y,Extension,Extension {[]} {[]},Extensions that cannot be ignored,Extensions that cannot be ignored even if unrecognized,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,,,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,,,,,,,,,,Patient.contact.modifierExtension,BackboneElement.modifierExtension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Patient.contact.name,,,,,,,,,,,,,,,,,HumanName,HumanName {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,name,,
Patient.contact.organization,,,,,,,,,,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Organization},Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,scoper,,
Patient.contact.period,,,,,,,,,,,,,,,,,Period,Period {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,effectiveTime,,
Patient.contact.relationship,,,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},,,,,,,,,,,,,,,,,,,http://hl7.org/fhir/ValueSet/patient-contact-relationship,http://hl7.org/fhir/ValueSet/patient-contactrelationship,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,code,,
Patient.contact.telecom,,,,,,,,,,,,,,,,,ContactPoint,ContactPoint {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,telecom,,
Patient.contained,,,,,,,,,,,,,,,,,Resource,Resource {[]} {[]},,,,,"This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.",,,,,,,,,,,,,,,,,,,Patient.contained,DomainResource.contained,,,,,,,,,,,,
Patient.deceased[x],,,,,,,,,,,,,,,,,"boolean
dateTime","boolean {[]} {[]}
dateTime {[]} {[]}",,,,,If there's no value in the instance it means there is no statement on whether or not the individual is deceased. Most systems will interpret the absence of a value as a sign of the person being alive.,"If there's no value in the instance, it means there is no statement on whether or not the individual is deceased. Most systems will interpret the absence of a value as a sign of the person being alive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,"player[classCode=PSN|ANM and determinerCode=INSTANCE]/deceasedInd, player[classCode=PSN|ANM and determinerCode=INSTANCE]/deceasedTime",,
Patient.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},,,,,,,,,,,,,,,,,,,,,url,value:url},,,,,Patient.extension,DomainResource.extension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,
Patient.extension-birthsex,,,,,,,,,,,Y,,,,,,Extension {http://fhir.org/guides/argonaut/StructureDefinition/argo-birthsex},Extension {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-birthsex]]} {[]},,,An Extension,A code classifying the person's sex assigned at birth  as specified by the [Office of the National Coordinator for Health IT (ONC)](https://www.healthit.gov/newsroom/about-onc).,,"The codes required are intended to present birth sex (i.e., the sex recorded on the patient’s birth certificate) and not gender identity or reassigned sex.",,,,,,,,,,,,,,,,,,,Patient.extension,DomainResource.extension,,,,,,ele-1,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,player[classCode=PSN|ANM and determinerCode=INSTANCE]/administrativeGender,,
