"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM","Mapping: W5 Mapping","Mapping: HL7 v2"
"MedicationStatement","argoprofile","","",0,*,"","","","","Argonaut MedicationStatement Profile","A record of a medication that is being consumed by a patient.   A MedicationStatement may indicate that the patient may be taking the medication now, or has taken the medication in the past or will be taking the medication in the future.  The source of this information can be the patient, significant other (such as a family member or spouse), or a clinician.  A common scenario where this information is captured is during the history taking process during a patient visit or stay.   The medication information may come from e.g. the patient's memory, from a prescription bottle,  or from a list of medications the patient, clinician or other party maintains   The primary difference between a medication statement and a medication administration is that the medication administration has complete administration information and is based on actual administration information from the person who administered the medication.  A medication statement is often, if not always, less specific.  There is no required date/time when the medication was administered, in fact we only know that a source has reported the patient is taking this medication, where details such as time, quantity, or rate or even medication product may be incomplete or missing or less precise.  As stated earlier, the medication statement information may come from the patient's memory, from a prescription bottle or from a list of medications the patient, clinician or other party maintains.  Medication administration is more formal and is not missing detailed information.","","","","","","","","","",,,,,"",,,,"MedicationStatement",0,*,"","mst-2:Reason for use is only permitted if wasNotTaken is false {null}
mst-1:Reason not taken is only permitted if wasNotTaken is true {null}","SubstanceAdministration","clinical.medication"
"MedicationStatement.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation. Bundles always have an id, though it is usually a generated UUID.","","","","","","","","",,,,,"",,,,"MedicationStatement.id",0,1,"",""
"MedicationStatement.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"MedicationStatement.meta",0,1,"",""
"MedicationStatement.status","","","",1,1,"Y","Y","","code
","active | completed | entered-in-error | intended","A code representing the patient or other source's judgment about the state of the medication used that this statement is about.  Generally this will be active or completed.","","","","","","","","","",,"required","A code specifying the state of the prescribing event. Describes the lifecycle of the prescription.","http://hl7.org/fhir/ValueSet/medication-statement-status","",,,,"MedicationStatement.status",1,1,"",""
"MedicationStatement.wasNotTaken","","","",0,1,"","Y","Y","boolean
","True if medication is/was not being taken","Set this to true if the record is saying that the medication was NOT taken.","","","","If this is missing, then the medication was taken","","","","","",,,,,"",,,,"MedicationStatement.wasNotTaken",0,1,"","","SubstanceAdministration.actionNegationInd","status"
"MedicationStatement.reasonNotTaken","","","",0,*,"","","Y","CodeableConcept
","True if asserting medication was not given","A code indicating why the medication was not taken.","","","","","","","","","",,"example","A set of codes indicating the reason why the MedicationAdministration is negated.","http://hl7.org/fhir/ValueSet/reason-medication-not-given-codes","",,,,"MedicationStatement.reasonNotTaken",0,*,"mst-1
","","SubstanceAdministration->Reason->Observation->Value"
"MedicationStatement.reasonForUse[x]","","","",0,1,"","","Y","CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Condition}","","A reason for why the medication is being/was taken.","","","","","","","","","",,"example","Codes identifying why the medication is being taken.","http://hl7.org/fhir/ValueSet/condition-code","",,,,"MedicationStatement.reasonForUse[x]",0,1,"",""
"MedicationStatement.effective[x]","","","",0,1,"Y","","","dateTime
Period","Over what period was medication consumed?","The interval of time during which it is being asserted that the patient was taking the medication (or was not taking, when the wasNotGiven element is true).","If the medication is still being taken at the time the statement is recorded, the ""end"" date will be omitted.","","","","","","","","",,,,,"",,,,"MedicationStatement.effective[x]",0,1,"","","SubstanceAdministration.effectiveTime","when.done"
"MedicationStatement.note","","","",0,1,"","","Y","string
","Further information about the statement","Provides extra information about the medication statement that is not conveyed by the other attributes.","","","","","","","","","",,,,,"",,,,"MedicationStatement.note",0,1,"",""
"MedicationStatement.supportingInformation","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Additional supporting information","Allows linking the MedicationStatement to the underlying MedicationOrder, or to other information that supports the MedicationStatement.","Likely references would be to MedicationOrder, MedicationDispense, Claim, Observation or QuestionnaireAnswers.","","","","","","","","",,,,,"",,,,"MedicationStatement.supportingInformation",0,*,"",""
"MedicationStatement.medication[x]","","","",1,1,"Y","","","CodeableConcept
Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-medication}","What medication was taken","Identifies the medication being administered. This is either a link to a resource representing the details of the medication or a simple attribute carrying a code that identifies the medication from a known list of medications.","If only a code is specified, then it needs to be a code for a specific product.  If more information is required, then the use of the medication resource is recommended.  Note: do not use Medication.name to describe the medication this statement concerns. When the only available information is a text description of the medication, Medication.code.text should be used.","","","","","","","","",,"extensible","Prescribable medications","http://fhir.org/guides/argonaut/ValueSet/medication-codes","",,,,"MedicationStatement.medication[x]",1,1,"","","SubstanceAdministration>Component>SubstanceAdministrationRequest.consumable","what"
"MedicationStatement.dosage","","","",0,*,"","","Y","BackboneElement
","Details of how medication was taken","Indicates how the medication is/was used by the patient.","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage",0,*,"","","SubstanceAdministration>Component>SubstanceAdministrationRequest"
"MedicationStatement.dosage.id","","","",0,1,"","","","id
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.id",0,1,"","","n/a"
"MedicationStatement.dosage.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.extension",0,*,"","","n/a"
"MedicationStatement.dosage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.modifierExtension",0,*,"","","N/A"
"MedicationStatement.dosage.text","","","",0,1,"","","Y","string
","Reported dosage information","Free text dosage information as reported about a patient's medication use. When coded dosage information is present, the free text may still be present for display to humans.","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.text",0,1,"",""
"MedicationStatement.dosage.timing","","","",0,1,"","","Y","Timing
","When/how often was medication taken","The timing schedule for giving the medication to the patient.  The Schedule data type allows many different expressions, for example.  ""Every  8 hours""; ""Three times a day""; ""1/2 an hour before breakfast for 10 days from 23-Dec 2011:"";  ""15 Oct 2013, 17 Oct 2013 and 1 Nov 2013"".","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.timing",0,1,"","",".effectiveTime"
"MedicationStatement.dosage.asNeeded[x]","","","",0,1,"","","Y","boolean
CodeableConcept","Take ""as needed"" (for x)","Indicates whether the Medication is only taken when needed within a specific dosing schedule (Boolean option), or it indicates the precondition for taking the Medication (CodeableConcept).    Specifically if 'boolean' datatype is selected, then the following logic applies:  If set to True, this indicates that the medication is only taken when needed, within the specified schedule.","","","","","","","","","",,"example","A coded concept identifying the precondition that should be met or evaluated prior to consuming or administering a medication dose.  For example ""pain"", ""30 minutes prior to sexual intercourse"", ""on flare-up"" etc.","","",,,,"MedicationStatement.dosage.asNeeded[x]",0,1,"","","boolean: .outboundRelationship[typeCode=PRCN].negationInd (inversed - so negationInd = true means asNeeded=false  CodeableConcept: .outboundRelationship[typCode=PRCN].target[classCode=OBS, moodCode=EVN, isCriterionInd=true, code=""Assertion""].value"
"MedicationStatement.dosage.site[x]","","","",0,1,"","","Y","CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/BodySite}","Where (on body) medication is/was administered","A coded specification of or a reference to the anatomic site where the medication first enters the body.","","","","","","","","","",,"example","A coded concept describing the site location the medicine enters into or onto the body.","http://hl7.org/fhir/ValueSet/approach-site-codes","",,,,"MedicationStatement.dosage.site[x]",0,1,"","",".approachSiteCode"
"MedicationStatement.dosage.route","","","",0,1,"","","Y","CodeableConcept
","How the medication entered the body","A code specifying the route or physiological path of administration of a therapeutic agent into or onto a subject.","","","","","","","","","",,"example","A coded concept describing the route or physiological path of administration of a therapeutic agent into or onto the body of a subject.","http://hl7.org/fhir/ValueSet/route-codes","",,,,"MedicationStatement.dosage.route",0,1,"","",".routeCode"
"MedicationStatement.dosage.method","","","",0,1,"","","Y","CodeableConcept
","Technique used to administer medication","A coded value indicating the method by which the medication is intended to be or was introduced into or on the body.  This attribute will most often NOT be populated.  It is most commonly used for injections.  For example, Slow Push, Deep IV.","One of the reasons this attribute is not used often, is that the method is often pre-coordinated with the route and/or form of administration.  This means the codes used in route or form may pre-coordinate the method in the route code or the form code.  The implementation decision about what coding system to use for route or form code will determine how frequently the method code will be populated e.g. if route or form code pre-coordinate method code, then this attribute will not be populated often; if there is no pre-coordination then method code may  be used frequently.","","","","","","","","",,"example","A coded concept describing the technique by which the medicine is administered.","","",,,,"MedicationStatement.dosage.method",0,1,"","",".methodCode"
"MedicationStatement.dosage.quantity[x]","","","",0,1,"","","Y","Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}
Range","Amount administered in one dose","The amount of therapeutic or other substance given at one administration event.","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.quantity[x]",0,1,"","",".doseQuantity"
"MedicationStatement.dosage.rate[x]","","","",0,1,"","","Y","Ratio
Range","Dose quantity per unit of time","Identifies the speed with which the medication was or will be introduced into the patient. Typically the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time e.g. 500 ml per 2 hours.   Currently we do not specify a default of '1' in the denominator, but this is being discussed. Other examples: 200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.rate[x]",0,1,"","",".rateQuantity"
"MedicationStatement.dosage.maxDosePerPeriod","","","",0,1,"","","Y","Ratio
","Maximum dose that was consumed per unit of time","The maximum total quantity of a therapeutic substance that may be administered to a subject over the period of time.  For example, 1000mg in 24 hours.","","","","","","","","","",,,,,"",,,,"MedicationStatement.dosage.maxDosePerPeriod",0,1,"","",".maxDoseQuantity"
