Resource,Conformance Server,Parameter,Exists,Type,Expression,Modifiers,Comparators,Reference,Chains,Description,Example Query,foo
Endpoint,SHALL,endpoint-connection-type,Y,token,Endpoint.connectionType,text,n/a,n/a,n/a,Select Endpoints that support the specified protocol/profile/standard,GET [base]/Endpoint?endpoint-connection-type=[code],
Endpoint,SHALL,endpoint-identifier,Y,token,Endpoint.identifier,text; ofType,n/a,n/a,n/a,Select Endpoints with the specified identifier,GET [base]/Endpoint?endpoint-identifier=[code],
Endpoint,MAY,endpoint-identifier-assigner,N,Reference,Endpoint.identifier.assigner,below,n/a,Organization,identifier; name,Select endpoints with an identifier assigned by the specified organization,GET [base]/Endpoint?endpoint-identifier-assigner=[id],
Endpoint,MAY,endpoint-mime-type,N,token,Endpoint.payloadMimeType,n/a,n/a,n/a,n/a,Select endpoints that support the specified media type,GET [base]/Endpoint?endpoint-mime-type=[code],
Endpoint,SHALL,endpoint-organization,Y,Reference,Endpoint.managingOrganization,above; below,n/a,Organization,identifier; name; address; partof; type,The organization that is managing the endpoint,GET [base]/Endpoint?endpoint-organization=[id],
Endpoint,SHOULD,endpoint-payload-type,Y,token,Endpoint.payloadType,text,n/a,n/a,n/a,Select Endpoints that support the specified type of content,GET [base]/Endpoint?endpoint-payload-type=[code],
Endpoint,SHALL,endpoint-status,Y,token,Endpoint.status,n/a,n/a,n/a,n/a,Select Endpoints with the specified status,GET [base]/Endpoint?endpoint-status=[code],
Endpoint,SHOULD,endpoint-usecase-standard,N,uri,Endpoint.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/endpoint-usecase').extension('standard'),below,n/a,n/a,n/a,Select endpoints that support the specified standard,GET [base]/Endpoint?endpoint-usecase-standard=[uri],
Endpoint,SHOULD,endpoint-usecase-type,N,token,Endpoint.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/endpoint-usecase').extension('type'),text,n/a,n/a,n/a,Select endpoints that support the type of services indicated by the specified code,GET [base]/Endpoint?endpoint-usecase-type=[code],GET [base]/Organization?partof=[url]
Endpoint,MAY,endpoint-via-intermediary,N,reference,Endpoint.contact.extension('http://hl7.org/fhir/ig/vhdir/StructureDefinition/contactpoint-viaintermediary'),n/a,n/a,PractitionerRole; Organization; OrganizationAffiliation; Location,n/a,Select endpoints with contact information available through the specified intermediary,GET [base]/Endpoint?endpoint-via-intermediary=[id],GET [base]/Organization?endpoint=[url]
HealthcareService,SHALL,healthcareservice-category,Y,token,HealthcareService.category,text,n/a,n/a,n/a,Select HealthcareServices providing the specified category of services,GET [base]/HealthcareService?healthcareservice-category=[code],GET [base]/Organization?identifier-assigner=[url]
