,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Fixed Value,Fixed Value,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
Extension.extension.extension,,,,,,,,,0,*,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,Extension.extension,open,0,Element.extension,*,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,
Extension.extension.extension.extension,,Extension.extension.extension.extension,,,,"extensions
user content",,0.0,,*,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
Extension.extension.extension.extension,,Extension.extension.extension.extension,,,,"extensions
user content",,0.0,,*,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
Extension.extension.extension.extension,,Extension.extension.extension.extension,,,,"extensions
user content",,0.0,,*,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,value:url},,Extensions are always sliced by (at least) url,,open,,Element.extension,,0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",right_only,
Extension.extension.extension.id,,Extension.extension.extension.id,,,,,,0.0,,1,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
Extension.extension.extension.id,,Extension.extension.extension.id,,,,,,0.0,,1,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
Extension.extension.extension.id,,Extension.extension.extension.id,,,,,,0.0,,1,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,,Element.id,,0,,1,,,,,,,right_only,
Extension.extension.extension.url,,Extension.extension.extension.url,,,,,,1.0,,1,,uri {[]} {[]},,identifies the meaning of the extension,,Source of the definition for the extension code - a logical name or a URL.,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",,,,,,,,,,,,,,Extension.url,,1,,1,,,,,,,right_only,
Extension.extension.extension.url,,Extension.extension.extension.url,,,,,,1.0,,1,,uri {[]} {[]},,identifies the meaning of the extension,,Source of the definition for the extension code - a logical name or a URL.,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",,,,,,,,,,,,,,Extension.url,,1,,1,,,,,,,right_only,
Extension.extension.extension.url,,Extension.extension.extension.url,,,,,,1.0,,1,,uri {[]} {[]},,identifies the meaning of the extension,,Source of the definition for the extension code - a logical name or a URL.,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",,,,,,,,,,,,,,Extension.url,,1,,1,,,,,,,right_only,
Extension.extension.extension.value[x],,Extension.extension.extension.value[x],,,,,,0.0,,1,,"base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}",,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,,,,,,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.extension.extension.value[x],,Extension.extension.extension.value[x],,,,,,0.0,,1,,"base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}",,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,,,,,,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.extension.extension.value[x],,Extension.extension.extension.value[x],,,,,,0.0,,1,,"base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}",,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,,,,,,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.extension.id,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,Extension.id,Element.id,,,,,,,,,,,,
Extension.extension.id,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,Extension.id,Element.id,,,,,,,,,,,,
Extension.extension.id,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,Extension.id,Element.id,,,,,,,,,,,,
Extension.extension.url,,,,,,,,,,,uri,uri {[]} {[]},,,,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",,,,,,,,,,,,,,,,,,,,,,,,,,
Extension.extension.url,,,,,,,,,,,uri,uri {[]} {[]},,,,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","<valueUri xmlns=""http://hl7.org/fhir"" value=""ombCategory""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""text""/>",,,,,,,,,,,,,,,,,,,,,,,,
Extension.extension.url,,,,,,,,,,,uri,uri {[]} {[]},,,,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","<valueUri xmlns=""http://hl7.org/fhir"" value=""text""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""ombCategory""/>",,,,,,,,,,,,,,,,,,,,,,,,
Extension.extension.valueCoding,Extension.extension.valueCoding,,,,,,1.0,,1,,Coding,,Value of extension,,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,,,,,,required,,The [900+ CDC Race codes](http://www.cdc.gov/phin/resources/vocabulary/index.html) that are grouped under one of the 5 OMB race category codes.,,http://fhir.org/guides/argonaut/ValueSet/detailed-race,,,,,,Extension.value[x],,0,,1,,,,,,,,,left_only
Extension.extension.valueCoding,Extension.extension.valueCoding,,,,,,1.0,,1,,Coding,,Value of extension,,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,,,,,,extensible,,"The 5 race category codes according to the [OMB Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997](https://www.whitehouse.gov/omb/fedreg_1997standards).",,http://fhir.org/guides/argonaut/ValueSet/omb-race,,,,,,Extension.value[x],,0,,1,,,,,,,,,left_only
Extension.extension.valueString,Extension.extension.valueString,,,,,,1.0,,1,,string,,Value of extension,,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,,,,,,,,,,,,,,,,Extension.value[x],,0,,1,,,,,,,,,left_only
Extension.extension.value[x],,Extension.extension.value[x],,,,,,1.0,,1,,string {[]} {[]},,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,,,,,,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.extension.value[x],,Extension.extension.value[x],,,,,,1.0,,1,,Coding {[]} {[]},,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,required,,,,http://hl7.org/fhir/us/core/ValueSet/detailed-race,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.extension.value[x],,Extension.extension.value[x],,,,,,1.0,,1,,Coding {[]} {[]},,Value of extension,,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,required,,"The 5 race category codes according to the [OMB Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity, Statistical Policy Directive No. 15, as revised, October 30, 1997](https://www.govinfo.gov/content/pkg/FR-1997-10-30/pdf/97-28653.pdf).",,http://hl7.org/fhir/us/core/ValueSet/omb-race-category,,,,,,Extension.value[x],,0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Extension.id,,,,,,,,,,,id,string {[]} {[]},xml:id (or equivalent in JSON),Unique id for inter-element referencing,unique id for the element within a resource (for internal references).,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,,,,Extension.id,Element.id,,,,,,,,,,,,
Extension.url,,,,,,,,,,,uri,uri {[]} {[]},,,,,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.org/guides/argonaut/StructureDefinition/argo-race""/>","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hl7.org/fhir/us/core/StructureDefinition/us-core-race""/>",,,,,,,,,,,,,,,,,,,,,,,,
Extension.value[x],,,,,,,,,,,"boolean
integerdecimalbase64BinaryinstantstringuridatedateTimetimecodeoididunsignedIntpositiveIntmarkdownAnnotationAttachmentIdentifierCodeableConceptCodingQuantityRangePeriodRatioSampledDataSignatureHumanNameAddressContactPointTimingReferenceMeta","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}",,,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).,,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
