,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Discriminator,Slicing Discriminator,Slicing Description,Slicing Description,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
MedicationOrder.modifierExtension,MedicationOrder.modifierExtension,,,,"extensions
user content",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.modifierExtension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.note,MedicationOrder.note,,,,,,0.0,,1,,,,,,Y,,string,,Information about the prescription,,Extra information about the prescription that could not be conveyed by the other attributes.,,,,,,,,,,,,,,,,MedicationOrder.note,,0.0,,1,,,,,,,,,left_only
MedicationOrder.patient,MedicationOrder.patient,,,,,,1.0,,1,,Y,,,,,,Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-patient},,Who prescription is for,,A link to a resource representing the person to whom the medication will be given.,,SubstanceAdministration->subject->Patient.,,,,,,,,,,,,,,MedicationOrder.patient,,0.0,,1,,,,,,subject.role,,,left_only
MedicationOrder.prescriber,MedicationOrder.prescriber,,,,,,1.0,,1,,Y,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Practitioner},,Who ordered the medication(s),,The healthcare professional responsible for authorizing the prescription.,,,,,,,,,,,,,,,,MedicationOrder.prescriber,,0.0,,1,,,,,,author.role,,,left_only
MedicationOrder.priorPrescription,MedicationOrder.priorPrescription,,,,,,0.0,,1,,,,,,Y,,Reference {http://hl7.org/fhir/StructureDefinition/MedicationOrder},,An order/prescription that this supersedes,,A link to a resource representing an earlier order or prescription that this order supersedes.,,,,,,,,,,,,,,,,MedicationOrder.priorPrescription,,0.0,,1,,,,,,,,,left_only
MedicationOrder.reasonEnded,MedicationOrder.reasonEnded,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,Why prescription was stopped,,"The reason why the prescription was stopped, if it was.",,,,,,example,,"Codes indicating why the medication was terminated; e.g. Adverse reaction, medication change, issue resolved, etc.",,,,,,,,MedicationOrder.reasonEnded,,0.0,,1,,,,,,,,,left_only
MedicationOrder.reason[x],MedicationOrder.reason[x],,,,,,0.0,,1,,,,,,Y,,"CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Condition}",,Reason or indication for writing the prescription,,Can be the reason or the indication for writing the prescription.,,,,,,example,,Codes indicating why the medication was ordered.,,http://hl7.org/fhir/ValueSet/condition-code,,,,,,MedicationOrder.reason[x],,0.0,,1,,,,,,reason.observation or reason.observation[code=ASSERTION].value,,,left_only
MedicationOrder.status,MedicationOrder.status,,,,,,1.0,,1,,Y,,Y,,,,code,,active | on-hold | completed | entered-in-error | stopped | draft,,A code specifying the state of the order.  Generally this will be active or completed state.,,,,,,required,,A code specifying the state of the prescribing event. Describes the lifecycle of the prescription.,,http://hl7.org/fhir/ValueSet/medication-order-status,,,,,,MedicationOrder.status,,0.0,,1,,,,,,statusCode,,,left_only
MedicationOrder.substitution,MedicationOrder.substitution,,,,,,0.0,,1,,,,,,Y,,BackboneElement,,Any restrictions on medication substitution,,"Indicates whether or not substitution can or should be part of the dispense. In some cases substitution must happen, in other cases substitution must not happen, and in others it does not matter. This block explains the prescriber's intent. If nothing is specified substitution may be done.",,,,,,,,,,,,,,,,MedicationOrder.substitution,,0.0,,1,,,,,,subjectOf.substitutionPersmission,,,left_only
MedicationOrder.substitution.extension,MedicationOrder.substitution.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension,,Additional Content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.substitution.extension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.substitution.id,MedicationOrder.substitution.id,,,,,,0.0,,1,,,,,,,,id,,xml:id (or equivalent in JSON),,unique id for the element within a resource (for internal references).,,,,,,,,,,,,,,,,MedicationOrder.substitution.id,,0.0,,1,,,,,,,,,left_only
MedicationOrder.substitution.modifierExtension,MedicationOrder.substitution.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,,,Extension,,Extensions that cannot be ignored,,"May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,,,,,MedicationOrder.substitution.modifierExtension,,0.0,,*,,,,,,,,,left_only
MedicationOrder.substitution.reason,MedicationOrder.substitution.reason,,,,,,0.0,,1,,,,,,Y,,CodeableConcept,,Why should (not) substitution be made,,"Indicates the reason for the substitution, or why substitution must or must not be performed.",,,,,,example,,A coded concept describing the reason that a different medication should (or should not) be substituted from what was prescribed.,,http://hl7.org/fhir/ValueSet/v3-SubstanceAdminSubstitutionReason,,,,,,MedicationOrder.substitution.reason,,0.0,,1,,,,,,reasonCode,,,left_only
MedicationOrder.substitution.type,MedicationOrder.substitution.type,,,,,,1.0,,1,,,,,,Y,,CodeableConcept,,generic | formulary +,,A code signifying whether a different drug should be dispensed from what was prescribed.,,,,,,example,,A coded concept describing whether a different medicinal product may be dispensed other than the product as specified exactly in the prescription.,,http://hl7.org/fhir/ValueSet/v3-ActSubstanceAdminSubstitutionCode,,,,,,MedicationOrder.substitution.type,,1.0,,1,,,,,,code,,,left_only
MedicationOrder.text,MedicationOrder.text,,,,"narrative
htmlxhtmldisplay",,0.0,,1,,,,,,,,Narrative,,"Text summary of the resource, for human interpretation",,"A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.",,Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative.,,,,,,,,,,,,,,MedicationOrder.text,,0.0,,1,,dom-1,,,,Act.text?,,,left_only
