,Path,Path,Slice Name,Slice Name,Alias(s),Alias(s),Min,Min,Max,Max,Must Support?,Must Support?,Is Modifier?,Is Modifier?,Is Summary?,Is Summary?,Type(s),Type(s),Short,Short,Definition,Definition,Comments,Comments,Requirements,Requirements,Binding Strength,Binding Strength,Binding Description,Binding Description,Binding Value Set,Binding Value Set,Slicing Rules,Slicing Rules,Base Path,Base Path,Base Min,Base Min,Base Max,Base Max,Condition(s),Condition(s),Constraint(s),Constraint(s),_merge,_merge
Device.deviceName.modifierExtension,,Device.deviceName.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.deviceName.name,,Device.deviceName.name,,,,Σ,,1.0,,1,,,,,,,,string {[]} {[]},,The name of the device,,The name of the device.,,,,,,,,,,,,Device.deviceName.name,,1.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.deviceName.type,,Device.deviceName.type,,,,,,1.0,,1,,,,,,,,code {[]} {[]},,udi-label-name | user-friendly-name | patient-reported-name | manufacturer-name | model-name | other,,"The type of deviceName.
UDILabelName | UserFriendlyName | PatientReportedName | ManufactureDeviceName | ModelName.",,,,,,required,,The type of name the device is referred by.,,http://hl7.org/fhir/ValueSet/device-nametype|4.0.1,,Device.deviceName.type,,1.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.playedRole[typeCode=MANU].code,right_only,
Device.distinctIdentifier,,Device.distinctIdentifier,,,,Distinct Identification Code (DIC),,0.0,,1,,Y,,,,,,string {[]} {[]},,The distinct identification string,,"The distinct identification string as required by regulation for a human cell, tissue, or cellular and tissue-based product.",,"For example, this applies to devices in the United States regulated under *Code of Federal Regulation 21CFR§1271.290(c)*.",,,,,,,,,,Device.distinctIdentifier,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.lotNumberText,right_only,
Device.expirationDate,,Device.expirationDate,,,,,,0.0,,1,,Y,,,,,,dateTime {[]} {[]},,Date and time of expiry of this device (if applicable),,The date and time beyond which this device is no longer valid or should not be used (if applicable).,,,,,,,,,,,,Device.expirationDate,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.expirationTime,right_only,
Device.expiry,Device.expiry,,,,,,0.0,,1,,,,,,,,dateTime,,Date and time of expiry of this device (if applicable),,The date and time beyond which this device is no longer valid or should not be used (if applicable).,,,,,,,,,,,,Device.expiry,,0.0,,1,,,,,,.expirationTime,,,left_only
Device.extension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},Additional Content defined by implementations,Additional content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the resource. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,,,,,,,,,,Device.extension,DomainResource.extension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Device.id,,,,,,,,,,,,,,,,,id,string {[]} {[]},,,,,"The only time that a resource does not have an id is when it is being submitted to the server using a create operation. Bundles always have an id, though it is usually a generated UUID.",The only time that a resource does not have an id is when it is being submitted to the server using a create operation.,,,,,,,,,Device.id,Resource.id,,,,,,,,,,,,
Device.identifier,,,,,,,,,,,,,,,,,Identifier,Identifier {[]} {[]},"Instance id from manufacturer, owner, and others",Instance identifier,"Unique instance identifiers assigned to a device by organizations like manufacturers or owners. If the identifier identifies the type of device, Device.type should be used.",Unique instance identifiers assigned to a device by manufacturers other organizations or owners.,"Often fixed to the device as a barcode and may include names given to the device in local usage.  Note that some of the barcodes affixed to the device identify its type, not its instance.  For the FDA mandated Unique Device Identifier (UDI) use  the Device.udi element.","The barcode string from a barcode present on a device label or package may identify the instance, include names given to the device in local usage, or may identify the type of device. If the identifier identifies the type of device, Device.type element should be used.",,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.implicitRules,,,,,,,,,,,,,,,,,uri,uri {[]} {[]},,,"A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content.","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element as much as possible.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.",,,,,,,,,Device.implicitRules,Resource.implicitRules,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.language,,,,,,,,,,,,,,,,,code,code {[]} {[]},,,,,"Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource  Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).",,,required,preferred,,,http://tools.ietf.org/html/bcp47,http://hl7.org/fhir/ValueSet/languages,Device.language,Resource.language,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.location,,,,,,,,,,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Location},Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]},Where the resource is found,Where the device is found,,,,,,Device.location can be used to track device location.,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.lotNumber,,,,,,,,,,,,Y,,,,,string,string {[]} {[]},,,,,Alphanumeric Maximum 20.,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.manufactureDate,,,,,,,,,,,,Y,,,,,dateTime,dateTime {[]} {[]},Manufacture date,Date when the device was made,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.manufacturer,,,,,,,,,,,,,,,,,string,string {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.meta,,,,,,,,,,,,,,,,,Meta,Meta {[]} {[]},,,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.,The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.,,,,,,,,,,,Device.meta,Resource.meta,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.model,Device.model,,,,,,0.0,,1,,,,,,,,string,,Model id assigned by the manufacturer,,"The ""model"" is an identifier assigned by the manufacturer to identify the product by its type. This number is shared by the all devices sold as the same type.",,,,,,,,,,,,Device.model,,0.0,,1,,,,,,.playedRole[typeCode=MANU].code,,,left_only
Device.modelNumber,,Device.modelNumber,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,The model number for the device,,The model number for the device.,,,,,,,,,,,,Device.modelNumber,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.softwareName (included as part),right_only,
Device.modifierExtension,,,,,,,,,,,,,,,,,Extension,Extension {[]} {[]},,,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,,,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,Device.modifierExtension,DomainResource.modifierExtension,,,,,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,,
Device.note,,,,,,,,,,,,,,,,,Annotation,Annotation {[]} {[]},,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.owner,,,,,,,,,,,,,,,,,Reference {http://hl7.org/fhir/StructureDefinition/Organization},Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]},,,,,,,,,,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.parent,,Device.parent,,,,,,0.0,,1,,,,,,,,Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]},,The parent device,,The parent device.,,,,,,,,,,,,Device.parent,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.partNumber,,Device.partNumber,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,The part number of the device,,The part number of the device.,,Alphanumeric Maximum 20.,,,,,,,,,,Device.partNumber,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.playedRole[typeCode=MANU].id,right_only,
Device.patient,,,,,,,,,,,,,,,,,Reference {http://fhir.org/guides/argonaut/StructureDefinition/argo-patient},Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient]]},If the resource is affixed to a person,Patient to whom Device is affixed,"Patient information, if the resource is affixed to a person.","Patient information, If the device is affixed to a person.",,,,"If the device is implanted in a patient, then need to associate the device to the patient.",,,,,,,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},Device.patient,.playedRole[typeCode=USED].scoper.playedRole[typeCode=PAT],,
Device.property,,Device.property,,,,,,0.0,,*,,,,,,,,BackboneElement {[]} {[]},,"The actual configuration settings of a device as it actually operates, e.g., regulation status, time properties",,"The actual configuration settings of a device as it actually operates, e.g., regulation status, time properties.",,,,,,,,,,,,Device.property,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.property.extension,,Device.property.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,Element.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.property.id,,Device.property.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,Element.id,,0.0,,1,,,,,,,right_only,
Device.property.modifierExtension,,Device.property.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.property.type,,Device.property.type,,,,,,1.0,,1,,,,,,,,CodeableConcept {[]} {[]},,Code that specifies the property DeviceDefinitionPropetyCode (Extensible),,Code that specifies the property DeviceDefinitionPropetyCode (Extensible).,,,,,,,,,,,,Device.property.type,,1.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.property.valueCode,,Device.property.valueCode,,,,,,0.0,,*,,,,,,,,CodeableConcept {[]} {[]},,"Property value as a code, e.g., NTP4 (synced to NTP)",,"Property value as a code, e.g., NTP4 (synced to NTP).",,,,,,,,,,,,Device.property.valueCode,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.property.valueQuantity,,Device.property.valueQuantity,,,,,,0.0,,*,,,,,,,,Quantity {[]} {[]},,Property value as a quantity,,Property value as a quantity.,,,,,,,,,,,,Device.property.valueQuantity,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.safety,,Device.safety,,,,,,0.0,,*,,,,,,Y,,CodeableConcept {[]} {[]},,Safety Characteristics of Device,,Provides additional safety characteristics about a medical device.  For example devices containing latex.,,,,,,,,,,,,Device.safety,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.serialNumber,,Device.serialNumber,,,,,,0.0,,1,,Y,,,,,,string {[]} {[]},,Serial number assigned by the manufacturer,,The serial number assigned by the organization when the device was manufactured.,,Alphanumeric Maximum 20.,,,,,,,,,,Device.serialNumber,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,.playedRole[typeCode=MANU].id,right_only,
Device.specialization,,Device.specialization,,,,,,0.0,,*,,,,,,,,BackboneElement {[]} {[]},,"The capabilities supported on a  device, the standards to which the device conforms for a particular purpose, and used for the communication",,"The capabilities supported on a  device, the standards to which the device conforms for a particular purpose, and used for the communication.",,,,,,,,,,,,Device.specialization,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.specialization.extension,,Device.specialization.extension,,,,"extensions
user content",,0.0,,*,,,,,,,,Extension {[]} {[]},,Additional content defined by implementations,,"May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,,,,,,,,,Element.extension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.specialization.id,,Device.specialization.id,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,Unique id for inter-element referencing,,Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,,,,,,,,,,,,Element.id,,0.0,,1,,,,,,,right_only,
Device.specialization.modifierExtension,,Device.specialization.modifierExtension,,,,"extensions
user contentmodifiers",,0.0,,*,,,,Y,,Y,,Extension {[]} {[]},,Extensions that cannot be ignored even if unrecognized,,"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).",,"There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",,"Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).",,,,,,,,BackboneElement.modifierExtension,,0.0,,*,,,,"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}",,,right_only,
Device.specialization.systemType,,Device.specialization.systemType,,,,Σ,,1.0,,1,,,,,,,,CodeableConcept {[]} {[]},,The standard that is used to operate and communicate,,The standard that is used to operate and communicate.,,,,,,,,,,,,Device.specialization.systemType,,1.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,right_only,
Device.specialization.version,,Device.specialization.version,,,,,,0.0,,1,,,,,,,,string {[]} {[]},,The version of the standard that is used to operate and communicate,,The version of the standard that is used to operate and communicate.,,,,,,,,,,,,Device.specialization.version,,0.0,,1,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.what[x],right_only,
Device.status,,,,,,,,,,,,,,,,,code,code {[]} {[]},available | not-available | entered-in-error,active | inactive | entered-in-error | unknown,,,,This element is labeled as a modifier because the status contains the codes inactive and entered-in-error that mark the device (record)as not currently valid.,,,,,,,http://hl7.org/fhir/ValueSet/devicestatus,http://hl7.org/fhir/ValueSet/device-status|4.0.1,,,,,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.statusReason,,Device.statusReason,,,,,,0.0,,*,,,,,,,,CodeableConcept {[]} {[]},,online | paused | standby | offline | not-ready | transduc-discon | hw-discon | off,,Reason for the dtatus of the Device availability.,,,,,,extensible,,The availability status reason of the device.,,http://hl7.org/fhir/ValueSet/device-status-reason,,Device.statusReason,,0.0,,*,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,FiveWs.status,right_only,
Device.text,,,,,,,,,,,,,,,,,Narrative,Narrative {[]} {[]},,,"A human-readable narrative that contains a summary of the resource, and may be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.",Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative.,"Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.",,,,,,,,,Device.text,DomainResource.text,,,,,dom-1,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},,,,
Device.type,,,,,,,,,,,,,,,,,CodeableConcept,CodeableConcept {[]} {[]},What kind of device this is,The kind or type of device,Code or identifier to identify a kind of device.,The kind or type of device.,For the FDA mandated Unique Device Identifier (UDI) use  the Device.udi element.,,,,,,,,http://fhir.org/guides/argonaut/ValueSet/device-kind,http://hl7.org/fhir/ValueSet/device-kind,,,1.0,0.0,,,,,,ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())},Device.type,,,
Device.udi,Device.udi,,,,"UDI
Barcode String",,1.0,,1,,Y,,,,,,string,,FDA mandated Unique Device Identifier,,"United States Food and Drug Administration mandated Unique Device Identifier (UDI). Use the human readable information (the content that the user sees, which is sometimes different to the exact syntax represented in the barcode)  - see http://www.fda.gov/MedicalDevices/DeviceRegulationandGuidance/UniqueDeviceIdentification/default.htm.",,"The unique identifier may identify an instance of a device uniquely, or it may only identify the type of the device. A portion of the UDI - the DI part - can be extracted from the UDI when required, and used to look up information about the device through the GUDID.",,,,,,,,,,Device.udi,,0.0,,1,,,,,,Device.udiCarrier,,,left_only
